,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,S.No. ,Controller,Product,Resources,Sub resource/Action,External/Internal,UI Page,Description,Method,Query Parameter,Path Variable,Request Body,URL,Response Status,Sample successful Response
10,10,10,10,10,10,10,10,10,10,11.0,,,users,users,,,API to get a single user with uId,GET,,uId,NA,/api/v1/users/{userId},200,"{
  ""username"": null,
  ""fullName"": null,
  ""email"": null,
  ""password"": null,
  ""userCreatedby"": null,
  ""mentor"": false,
  ""jobfeed"": false,
  ""resumeLink"": null,
  ""userCreatedts"": null,
  ""userUpdatedby"": null,
  ""userUpdatedts"": null,
  ""uid"": null,
  ""active"": false,
  ""conditionAccepted"": false,
  ""ugroup"": null,
  ""urole"": null,
  ""utype"": null,
  ""ucontact"": null
}"
11,11,11,11,11,11,11,11,11,11,12.0,,,users,health,,,tbd,GET,,,NA,/api/v1/health,200,"{""status"": ""UP""}"
12,12,12,12,12,12,12,12,12,12,13.0,,,users,health,,,tbd,DELETE,,,NA,/api/v1/health,200,"{""status"": ""UP""}"
13,13,13,13,13,13,13,13,13,13,14.0,,,users,health,,,tbd,HEAD,,,NA,/api/v1/health,,NA
14,14,14,14,14,14,14,14,14,14,15.0,,,users,health,,,tbd,POST,,,NA,/api/v1/health,200,"{""status"": ""UP""}"
15,15,15,15,15,15,15,15,15,15,16.0,,,users,health,,,tbd,OPTIONS,,,NA,/api/v1/health,,NA
16,16,16,16,16,16,16,16,16,16,17.0,,,users,health,,,tbd,PATCH,,,NA,/api/v1/health,200,"{""status"": ""UP""}"
17,17,17,17,17,17,17,17,17,17,18.0,,,users,health,,,tbd,PUT,,,NA,/api/v1/health,200,"{""status"": ""UP""}"
18,18,18,18,18,18,18,18,18,18,19.0,DrillController,,users,drills,,,To find details of a hackathon with drillid,GET,"drillId,runningStatus,type,active",,NA,/api/v1/drills,200,"[
  {
    ""active"": true,
    ""createdBy"": ""string"",
    ""createdTs"": ""2022-09-29T05:18:19.442Z"",
    ""drillApplicantCount"": 0,
    ""drillCoverImgUrl"": ""string"",
    ""drillCustUrl"": ""string"",
    ""drillEndDt"": ""2022-09-29T05:18:19.442Z"",
    ""drillHiringExp"": ""string"",
    ""drillHiringSkill"": ""string"",
    ""drillId"": ""string"",
    ""drillLogoUrl"": ""string"",
    ""drillMobileCoverImgSettings"": ""string"",
    ""drillName"": ""string"",
    ""drillNature"": ""string"",
    ""drillPageSettings"": ""string"",
    ""drillPartnerId"": ""string"",
    ""drillPartnerName"": ""string"",
    ""drillPurpose"": ""string"",
    ""drillRegistrationEndDt"": ""2022-09-29T05:18:19.442Z"",
    ""drillSectionComplete"": ""string"",
    ""drillSocialLinks"": ""string"",
    ""drillStartDt"": ""2022-09-29T05:18:19.442Z"",
    ""drillTeamSize"": ""string"",
    ""drillTimezone"": ""string"",
    ""drillType"": ""string"",
    ""updatedBy"": ""string"",
    ""updatedTs"": ""2022-09-29T05:18:19.442Z""
  }
]"
19,19,19,19,19,19,19,19,19,19,20.0,,,users,drills,,,To add/update a new hackathon details,POST,,,"{
  ""active"": true,
  ""createdBy"": ""string"",
  ""createdTs"": ""2022-09-29T05:18:19.274Z"",
  ""drillApplicantCount"": 0,
  ""drillCoverImgUrl"": ""string"",
  ""drillCustUrl"": ""string"",
  ""drillEndDt"": ""2022-09-29T05:18:19.274Z"",
  ""drillHiringExp"": ""string"",
  ""drillHiringSkill"": ""string"",
  ""drillId"": ""string"",
  ""drillLogoUrl"": ""string"",
  ""drillMobileCoverImgSettings"": ""string"",
  ""drillName"": ""string"",
  ""drillNature"": ""string"",
  ""drillPageSettings"": ""string"",
  ""drillPartnerId"": ""string"",
  ""drillPartnerName"": ""string"",
  ""drillPurpose"": ""string"",
  ""drillRegistrationEndDt"": ""2022-09-29T05:18:19.274Z"",
  ""drillSectionComplete"": ""string"",
  ""drillSocialLinks"": ""string"",
  ""drillStartDt"": ""2022-09-29T05:18:19.274Z"",
  ""drillTeamSize"": ""string"",
  ""drillTimezone"": ""string"",
  ""drillType"": ""string"",
  ""updatedBy"": ""string"",
  ""updatedTs"": ""2022-09-29T05:18:19.274Z""
}",/api/v1/drills,200,"{
  ""active"": true,
  ""createdBy"": ""string"",
  ""createdTs"": ""2022-09-29T05:18:19.274Z"",
  ""drillApplicantCount"": 0,
  ""drillCoverImgUrl"": ""string"",
  ""drillCustUrl"": ""string"",
  ""drillEndDt"": ""2022-09-29T05:18:19.274Z"",
  ""drillHiringExp"": ""string"",
  ""drillHiringSkill"": ""string"",
  ""drillId"": ""string"",
  ""drillLogoUrl"": ""string"",
  ""drillMobileCoverImgSettings"": ""string"",
  ""drillName"": ""string"",
  ""drillNature"": ""string"",
  ""drillPageSettings"": ""string"",
  ""drillPartnerId"": ""string"",
  ""drillPartnerName"": ""string"",
  ""drillPurpose"": ""string"",
  ""drillRegistrationEndDt"": ""2022-09-29T05:18:19.274Z"",
  ""drillSectionComplete"": ""string"",
  ""drillSocialLinks"": ""string"",
  ""drillStartDt"": ""2022-09-29T05:18:19.274Z"",
  ""drillTeamSize"": ""string"",
  ""drillTimezone"": ""string"",
  ""drillType"": ""string"",
  ""updatedBy"": ""string"",
  ""updatedTs"": ""2022-09-29T05:18:19.274Z""
}"
20,20,20,20,20,20,20,20,20,20,21.0,,,users,drills,,,To search users associated with a drill,GET,"email.curentLoc,preferredLoc,clgName,clgSpecialization,jobTitle,organization,noticePeriod,offset,limit,order,profile",,NA,/api/v1/drills/participant/search,200,"{
  ""totalRecordCount"": 0,
  ""details"": []
}"
21,21,21,21,21,21,21,21,21,21,22.0,,,users,drills,,,To fetch participants with filter,GET,"drillId,participantId",,NA,/api/v1/drills/participants,200,[]
22,22,22,22,22,22,22,22,22,22,23.0,,,users,drills,,,To get drillId from custom URL,GET,,custUrl,NA,/api/v1/drills/{custUrl},200,"{""drillId"":""{}""}"
23,23,23,23,23,23,23,23,23,23,24.0,,,users,drills,,,To get drill specific common values,GET,,drillId,NA,/api/v1/drills/{drillId}/common/participate,200,"{
  ""skills"": [
    ""Java"",
    ""reactJs"",
    ""Python"",
    ""NodeJs"",
    ""Docker"",
    ""DevOps"",
    ""Kubernetes"",
    ""Others""
  ],
  ""knownPlatforms"": ""Facebook, LinkedIn, WUElev8, Twitter""
}"
24,24,24,24,24,24,24,24,24,24,25.0,,,users,drills,,,To post details for registered user,,,drillId,"{
  ""aadharId"": ""string"",
  ""affiliatePlatform"": ""string"",
  ""clgName"": ""string"",
  ""clgPassingSemester"": 0,
  ""clgPassingYear"": 0,
  ""clgSpecialization"": ""string"",
  ""contact"": ""string"",
  ""createdBy"": ""string"",
  ""createdTs"": ""2022-09-29T05:18:19.277Z"",
  ""ctc"": ""string"",
  ""currentLoc"": ""string"",
  ""drillId"": ""string"",
  ""drillName"": ""string"",
  ""ectc"": ""string"",
  ""email"": ""string"",
  ""fullName"": ""string"",
  ""jobTitle"": ""string"",
  ""lastWorkingDay"": ""2022-09-29"",
  ""noticePeriod"": ""string"",
  ""notificationResponse"": true,
  ""organisation"": ""string"",
  ""pancardId"": ""string"",
  ""participantId"": ""string"",
  ""participantState"": ""string"",
  ""participantType"": ""string"",
  ""platformUId"": ""string"",
  ""preferredLoc"": ""string"",
  ""resumeLink"": ""string"",
  ""servingNoticePeriod"": true,
  ""skills"": ""string"",
  ""teamId"": ""string"",
  ""teamParticipationMessage"": ""string"",
  ""theme"": ""string"",
  ""updatedBy"": ""string"",
  ""updatedTs"": ""2022-09-29T05:18:19.277Z"",
  ""willingForJob"": true,
  ""yearsOfExperience"": 0
}",/api/v1/drills/{drillId}/participate,200,NA
25,25,25,25,25,25,25,25,25,25,26.0,,,users,drills,,,To add/update state of participant,PUT,,"drillId,participantId,participantState",NA,/api/v1/drills/{drillId}/participate/{participantId}/state/{participantState},200,NA
26,26,26,26,26,26,26,26,26,26,27.0,,,users,drills,,,To add a new team,POST,,"drillId,participantId","{
  ""createdBy"": ""string"",
  ""createdTs"": ""2022-09-29T08:58:13.561Z"",
  ""drillId"": ""8af2b4c5-6bb5-4985-b557-abbec4a5a4b7"",
  ""participantId"": ""string"",
  ""participantValue"": ""string"",
  ""selectedTheme"": ""string"",
  ""teamCurrentSize"": 0,
  ""teamId"": ""string"",
  ""teamImgUrl"": ""string"",
  ""teamLeadParticipantId"": ""string"",
  ""teamName"": ""string"",
  ""updatedBy"": ""string"",
  ""updatedTs"": ""2022-09-29T08:58:13.561Z""
}",/api/v1/drills/{drillId}/participate/{participantId}/teams,200,"{
  ""teamId"": ""bb94384e-32b2-4624-8266-3927e6f6d1be"",
  ""drillId"": ""8af2b4c5-6bb5-4985-b557-abbec4a5a4b7"",
  ""teamName"": ""string"",
  ""teamImgUrl"": ""string"",
  ""selectedTheme"": ""string"",
  ""teamLeadParticipantId"": ""8af2b4c5-6bb5-4985-b557-abbec4a5a4b7"",
  ""teamCurrentSize"": 1,
  ""participantValue"": null,
  ""participantId"": null,
  ""createdTs"": ""2022-09-29T09:00:43.241+00:00"",
  ""updatedTs"": ""2022-09-29T09:00:43.376+00:00"",
  ""createdBy"": ""string"",
  ""updatedBy"": ""string""
}"
27,27,27,27,27,27,27,27,27,27,28.0,,,users,drills,,,To add a new team member,POST,,"drillId,participantId","{
  ""createdBy"": ""string"",
  ""createdTs"": ""2022-09-29T08:58:13.562Z"",
  ""drillId"": ""string"",
  ""id"": 0,
  ""participantId"": ""string"",
  ""participantValue"": ""string"",
  ""requestAccepted"": true,
  ""teamId"": ""string"",
  ""updatedBy"": ""string"",
  ""updatedTs"": ""2022-09-29T08:58:13.562Z""
}",/api/v1/drills/{drillId}/participate/{participantId}/teams/{teamId},200,NA
28,28,28,28,28,28,28,28,28,28,29.0,,,users,drills,,,To accept team member,GET,leadParticipantId,"drillId,participantId,teamId",NA,/api/v1/drills/{drillId}/participate/{participantId}/teams/{teamId}/accept,200,NA
29,29,29,29,29,29,29,29,29,29,30.0,,,users,drills,,,To seach teams with initial letters,GET,initialLetters,drillId,NA,/api/v1/drills/{drillId}/teams,200,NA
30,30,30,30,30,30,30,30,30,30,31.0,,,users,drills,,,To check if a team name is available,GET,teamName,drillId,NA,/api/v1/drills/{drillId}/teams/name,200,TRUE
31,31,31,31,31,31,31,31,31,31,32.0,,,users,drills,,,To get drill teams,GET,,"drillId,teamId",NA,/api/v1/drills/{drillId}/teams/{teamId},200,[]
32,32,32,32,32,32,32,32,32,32,33.0,,,users,drills,,,To get all the information of a user,GET,,"drillId,uId",NA,/api/v1/drills/{drillId}/users/{uId},200,FALSE-tbd
33,33,33,33,33,33,33,33,33,33,34.0,,,users,drills,,,To search drill section,GET,participantId,"drillId,section",NA,/api/v1/drills/{drillId}/{section},200,NA
34,34,34,34,34,34,34,34,34,34,35.0,,,users,drills,,,To save section in drill,POST,,section,payload,/api/v1/drills/{section},200,NA
35,35,35,35,35,35,35,35,35,35,36.0,DrillMailController,,users,drills,,,To get types of participants,GET,,,NA,/api/v1/drills/mails/participantTypes,200,"[
  ""Participant"",
  ""Shortlisted"",
  ""Fighters"",
  ""Winners:Participant"",
  ""Shortlisted"",
  ""Fighters"",
  ""Winners""
]"
36,36,36,36,36,36,36,36,36,36,37.0,,,users,drills,,,To send mail to participants,POST,,drillId,"{
  ""listOfBcc"": [
    ""string""
  ],
  ""listOfReceiver"": [
    ""string""
  ],
  ""listofCc"": [
    ""string""
  ],
  ""mailBody"": ""string"",
  ""mailSubject"": ""string"",
  ""templateName"": ""string"",
  ""userType"": ""string""
}",/api/v1/drills/{drillId}/mails,,NA
37,37,37,37,37,37,37,37,37,37,38.0,,,users,drills,,,To get mail templates,GET,templateId,drillId,NA,/api/v1/drills/{drillId}/mails/templates,200,NA
38,38,38,38,38,38,38,38,38,38,39.0,,,users,drills,,,To add/update mail templates,POST,,drillId,"{
  ""createdBy"": ""string"",
  ""createdTs"": ""2022-09-29T08:58:13.560Z"",
  ""drillId"": ""string"",
  ""mailBody"": ""string"",
  ""mailSubject"": ""string"",
  ""mailTemplateId"": ""string"",
  ""templateDesc"": ""string"",
  ""templateName"": ""string"",
  ""updatedBy"": ""string"",
  ""updatedTs"": ""2022-09-29T08:58:13.560Z""
}",/api/v1/drills/{drillId}/mails/templates,200,"{
  ""mailTemplateId"": ""7b6348c6-8383-44dc-b9e8-88ed095d2725"",
  ""drillId"": ""8af2b4c5-6bb5-4985-b557-abbec4a5a4b7"",
  ""templateName"": ""string"",
  ""templateDesc"": ""string"",
  ""mailSubject"": ""string"",
  ""mailBody"": ""string"",
  ""createdTs"": ""2022-09-29T11:20:44.764+00:00"",
  ""updatedTs"": ""2022-09-29T11:20:44.764+00:00"",
  ""createdBy"": ""string"",
  ""updatedBy"": ""string""
}"
39,39,39,39,39,39,39,39,39,39,40.0,DrillSubmissionController,,users,drills,,,To get default submission fields,GET,,,NA,/api/v1/drills/submissionFields/default,200,"[{
  ""fieldId"": ""string"",
  ""fieldName"": ""string"",
  ""fieldDescription"": ""string"",
  ""fieldType"": ""string"",
  ""createdTs"": ""2022-09-29T11:33:24.073+00:00"",
  ""updatedTs"": ""2022-09-29T11:33:24.073+00:00"",
  ""createdBy"": ""string"",
  ""updatedBy"": ""string"",
  ""hidden"": true,
  ""required"": true
}]"
40,40,40,40,40,40,40,40,40,40,41.0,,,users,drills,,,To add/update default submission fields,POST,,,"{
  ""fieldId"": ""string"",
  ""fieldName"": ""string"",
  ""fieldDescription"": ""string"",
  ""fieldType"": ""string"",
  ""createdTs"": ""2022-09-29T11:33:24.073+00:00"",
  ""updatedTs"": ""2022-09-29T11:33:24.073+00:00"",
  ""createdBy"": ""string"",
  ""updatedBy"": ""string"",
  ""hidden"": true,
  ""required"": true
}",/api/v1/drills/submissionFields/default,200,"{
  ""fieldId"": ""string"",
  ""fieldName"": ""string"",
  ""fieldDescription"": ""string"",
  ""fieldType"": ""string"",
  ""createdTs"": ""2022-09-29T11:33:24.073+00:00"",
  ""updatedTs"": ""2022-09-29T11:33:24.073+00:00"",
  ""createdBy"": ""string"",
  ""updatedBy"": ""string"",
  ""hidden"": true,
  ""required"": true
}"
41,41,41,41,41,41,41,41,41,41,42.0,,,users,drills,,,To get drill submission fields,GET,,drillId,NA,/api/v1/drills/{drillId}/submissionFields,200,NA
42,42,42,42,42,42,42,42,42,42,43.0,,,users,drills,,,To add/update submission fields,POST,,drillId,"{
  ""createdBy"": ""string"",
  ""createdTs"": ""2022-09-29T08:58:13.562Z"",
  ""drillId"": ""string"",
  ""fields"": ""string"",
  ""guidelines"": ""string"",
  ""updatedBy"": ""string"",
  ""updatedTs"": ""2022-09-29T08:58:13.562Z""
}",/api/v1/drills/{drillId}/submissionFields/configure,200,"{
  ""createdBy"": ""string"",
  ""createdTs"": ""2022-09-29T08:58:13.562Z"",
  ""drillId"": ""string"",
  ""fields"": ""string"",
  ""guidelines"": ""string"",
  ""updatedBy"": ""string"",
  ""updatedTs"": ""2022-09-29T08:58:13.562Z""
}"
43,43,43,43,43,43,43,43,43,43,44.0,,,users,drills,,,To get submissions made under one drillId,GET,"judgeId,limit,offset,order,participantId,profile,teamId,theme",drillId,NA,/api/v1/drills/{drilId}/submissions,200,"{
  ""totalRecordCount"": 0,
  ""data"": []
}"
44,44,44,44,44,44,44,44,44,44,45.0,,,users,drills,,,To add or update submissions made under a drilId,POST,,drillId,"{
  ""createdBy"": ""string"",
  ""createdTs"": ""2022-09-29T08:58:13.562Z"",
  ""drillId"": ""string"",
  ""judgeId"": ""string"",
  ""otherSubmission"": ""string"",
  ""participantId"": ""string"",
  ""presentation"": ""string"",
  ""projectName"": ""string"",
  ""snapshots"": ""string"",
  ""sourceCode"": ""string"",
  ""submissionDescription"": ""string"",
  ""submissionId"": ""string"",
  ""teamId"": ""string"",
  ""theme"": ""string"",
  ""updatedBy"": ""string"",
  ""updatedTs"": ""2022-09-29T08:58:13.563Z"",
  ""video"": ""string""
}",/api/v1/drills/{drillId}/submissions,200,"{
  ""createdBy"": ""string"",
  ""createdTs"": ""2022-09-29T08:58:13.562Z"",
  ""drillId"": ""string"",
  ""judgeId"": ""string"",
  ""otherSubmission"": ""string"",
  ""participantId"": ""string"",
  ""presentation"": ""string"",
  ""projectName"": ""string"",
  ""snapshots"": ""string"",
  ""sourceCode"": ""string"",
  ""submissionDescription"": ""string"",
  ""submissionId"": ""string"",
  ""teamId"": ""string"",
  ""theme"": ""string"",
  ""updatedBy"": ""string"",
  ""updatedTs"": ""2022-09-29T08:58:13.563Z"",
  ""video"": ""string""
}"
45,45,45,45,45,45,45,45,45,45,46.0,,,users,drills,,,To add/update assignment of judges,POST,judgeId,"drillId,submissionId",NA,/api/v1/drills/{drillId}/submissions/{submissionId}/assignments,200,NA
46,46,46,46,46,46,46,46,46,46,47.0,Jobs Controller,,users,jobs,,Jobs Page,To search for jobs according to a query,GET,"query,uId",,NA,/api/v1/allJobs,200,"[
  {
    ""createdBy"": ""string"",
    ""createdTs"": ""2022-09-30T04:48:46.151Z"",
    ""isActive"": true,
    ""isCompanyNameHidden"": true,
    ""isSalaryHidden"": true,
    ""jdLink"": ""string"",
    ""jobApplicantCount"": 0,
    ""jobCtcCurrency"": ""string"",
    ""jobDescription"": ""string"",
    ""jobDomain"": ""string"",
    ""jobEsopAcceptance"": true,
    ""jobId"": ""string"",
    ""jobImageLink"": ""string"",
    ""jobIndustryCategory"": ""string"",
    ""jobKeywords"": ""string"",
    ""jobLocation"": ""string"",
    ""jobMaxCtcRange"": 0,
    ""jobMaxYoe"": 0,
    ""jobMinCtcRange"": 0,
    ""jobMinYoe"": 0,
    ""jobMusthave"": ""string"",
    ""jobNoticePeriodAcceptable"": ""string"",
    ""jobNumberOfVacancies"": 0,
    ""jobPostedBy"": ""string"",
    ""jobPriority"": ""string"",
    ""jobRounds"": ""string"",
    ""jobScreeningQuestions"": ""string"",
    ""jobSkills"": ""string"",
    ""jobTitle"": ""string"",
    ""jobType"": ""string"",
    ""otherTags"": ""string"",
    ""partner"": {
      ""createdBy"": ""string"",
      ""createdTs"": ""2022-09-30T04:48:46.151Z"",
      ""partnerDescription"": ""string"",
      ""partnerEstablishmentDate"": ""string"",
      ""partnerId"": ""string"",
      ""partnerIndustry"": ""string"",
      ""partnerLogoPath"": ""string"",
      ""partnerName"": ""string"",
      ""partnerSocialLinks"": ""string"",
      ""partnerType"": ""string"",
      ""updatedBy"": ""string"",
      ""updatedTs"": ""2022-09-30T04:48:46.151Z""
    },
    ""partnerId"": ""string"",
    ""partnerName"": ""string"",
    ""updatedBy"": ""string"",
    ""updatedTs"": ""2022-09-30T04:48:46.151Z""
  }
]"
47,47,47,47,47,47,47,47,47,47,48.0,,,users,jobs,,,To add a job ,POST,,,jobDto,/api/v1/jobs,201-tbd,NA
48,48,48,48,48,48,48,48,48,48,49.0,,,users,jobs,,Jobs Page,To get all headings for jobs,GET,,,NA,/api/v1/jobs/headings,200,"{
  ""jobLocation"": [],
  ""jobTitle"": [],
  ""jobType"": []
}"
49,49,49,49,49,49,49,49,49,49,50.0,,,users,jobs,,,To get all jobs which fulfill the query parameters,GET,"isActive,jobLocation,jobMaxCtc,jobMaxYoe,jobMinCtc,jobMinYoe,jobSkills,jobTitle,jobType,limit,offset,order,profile",,NA,/api/v1/jobs/search,200,"{
  ""data"": [
    {
      ""createdBy"": ""string"",
      ""createdTs"": ""2022-09-30T04:48:46.157Z"",
      ""isActive"": true,
      ""isCompanyNameHidden"": true,
      ""isSalaryHidden"": true,
      ""jdLink"": ""string"",
      ""jobApplicantCount"": 0,
      ""jobCtcCurrency"": ""string"",
      ""jobDescription"": ""string"",
      ""jobDomain"": ""string"",
      ""jobEsopAcceptance"": true,
      ""jobId"": ""string"",
      ""jobImageLink"": ""string"",
      ""jobIndustryCategory"": ""string"",
      ""jobLocation"": ""string"",
      ""jobMaxCtcRange"": 0,
      ""jobMaxYoe"": 0,
      ""jobMinCtcRange"": 0,
      ""jobMinYoe"": 0,
      ""jobMusthave"": ""string"",
      ""jobNoticePeriodAcceptable"": ""string"",
      ""jobNumberOfVacancies"": 0,
      ""jobPostedBy"": ""string"",
      ""jobPriority"": ""string"",
      ""jobRounds"": ""string"",
      ""jobScreeningQuestions"": ""string"",
      ""jobSkills"": ""string"",
      ""jobTitle"": ""string"",
      ""jobType"": ""string"",
      ""otherTags"": ""string"",
      ""partnerId"": ""string"",
      ""partnerName"": ""string"",
      ""salaryHidden"": true,
      ""updatedBy"": ""string"",
      ""updatedTs"": ""2022-09-30T04:48:46.157Z""
    }
  ],
  ""totalRecordCount"": 0
}"
50,50,50,50,50,50,50,50,50,50,51.0,,,users,jobs,,,To create a job view,POST,,,"{
  ""createdBy"": ""string"",
  ""createdTs"": ""2022-09-30T04:48:46.116Z"",
  ""dayOfWeek"": ""string"",
  ""deviceInfo"": ""string"",
  ""jobId"": ""string"",
  ""jobName"": ""string"",
  ""jobViewCount"": 0,
  ""latitude"": ""string"",
  ""location"": ""string"",
  ""longitude"": ""string"",
  ""monthOfYear"": ""string"",
  ""uid"": ""string"",
  ""year"": 0
}",/api/v1/jobs/views/,200,"{
  ""msg"": ""Job View successfully saved""
}"
